,0,1,2,3,4,5,6,7,8,9,10
0,-5572.181404247659,-5577.685273919767,-5595.026321987341,-5579.701608522992,-5547.451460799115,-5610.64509329113,-5546.975744265751,-5576.946509854825,-5561.404054944573,-5581.528700779831,-5504.991446260539
1,-5572.703484354703,-5573.995604389393,-5592.441879716873,-5575.977542915551,-5546.919709156761,-5615.149023584357,-5556.608011124614,-5575.314026009907,-5564.247810112063,-5580.885673348554,-5504.826707866155
2,-5570.449806702275,-5568.794197579478,-5587.92627960683,-5592.465072574097,-5540.647590216115,-5615.6816233220125,-5548.294544417692,-5581.564136229144,-5561.251673183586,-5579.049678793708,-5503.674756550382
3,-5567.795946085227,-5566.567460073031,-5580.616943493753,-5598.60096340814,-5541.434275774166,-5614.9304392268305,-5555.368634553588,-5580.831972630994,-5564.269345729083,-5573.254227596644,-5499.263475604023
4,-5559.438890520441,-5558.916800657984,-5571.134466078441,-5594.417657850761,-5541.903886811102,-5614.618983658391,-5556.00254792673,-5579.502294773371,-5572.245681878991,-5570.969968117122,-5492.453395711816
5,-5555.0582945621645,-5548.592769385028,-5570.033873650786,-5591.838474087253,-5538.288390984826,-5597.803211587205,-5570.638139609081,-5577.785094036469,-5561.706532075801,-5571.910517561006,-5499.882021796919
6,-5553.144356153976,-5522.755950667015,-5559.310198452837,-5588.5202318446745,-5538.002355778177,-5596.940146146973,-5543.124873000108,-5583.849963884166,-5539.612926522501,-5565.729269820425,-5496.800312616671
7,-5548.899730459395,-5505.183522499852,-5554.784363756366,-5576.807252119808,-5527.173907104437,-5565.13312548405,-5534.0994789966135,-5556.517672487753,-5520.5786031173375,-5552.365808523191,-5481.371246112982
8,-5521.185758321564,-5478.49258042795,-5538.320746137873,-5559.493140262284,-5519.750515678746,-5546.493017144157,-5501.583659947624,-5546.706559817658,-5501.487535146563,-5525.995810339144,-5458.890011003734
9,-5486.178242416969,-5435.182983980454,-5500.530625690217,-5539.933506844646,-5500.148305206763,-5507.0084206258625,-5445.093240191176,-5501.59324004106,-5471.700274802171,-5495.83571401696,-5444.62141333003
10,-5411.965644722907,-5396.603298709532,-5493.390022830004,-5525.575531901301,-5435.383453630935,-5466.478229757613,-5413.122772102235,-5454.523503488509,-5419.674870750033,-5463.05433351192,-5414.8079439237645
11,-5345.840840555167,-5370.526012536631,-5442.512696437419,-5475.853240497627,-5384.445170222191,-5393.908004631205,-5339.587847348352,-5397.576760238354,-5375.0392770449125,-5411.03387312146,-5377.651872780492
12,-5287.751835071211,-5286.087819988186,-5383.596556422544,-5389.3962244755785,-5311.469941928342,-5338.948338202896,-5309.513493311627,-5334.5694624450725,-5337.033745048229,-5378.019268263564,-5321.709287177133
13,-5247.929856533094,-5239.006410536935,-5330.514393114134,-5351.6591977519,-5249.551841439243,-5308.516822804562,-5266.1858672648605,-5271.788335684954,-5277.252247188799,-5313.034567958494,-5251.065865751321
14,-5233.906357248425,-5158.074017861434,-5278.369781444058,-5285.250939628474,-5195.0124182815725,-5235.0958591342915,-5196.036582777599,-5202.135554475732,-5195.319557201168,-5262.853615796188,-5179.155879620494
15,-5184.007222452883,-5105.545311622759,-5209.5831324124865,-5231.146680430307,-5161.608008246143,-5185.760573767,-5135.407458305455,-5125.8254808121965,-5133.926383391145,-5230.000485534506,-5123.069101851663
16,-5158.447716760271,-5068.535714853655,-5148.51768257724,-5214.775069060874,-5114.534190323998,-5126.361135250132,-5058.612511609023,-5097.405570502999,-5101.332193505829,-5197.126622654818,-5042.675387414594
17,-5125.309909112662,-5014.3539488760125,-5100.79387997841,-5187.864383963488,-5034.090908679955,-5058.4368637777825,-5026.188821565089,-5044.437773044005,-5066.760780950879,-5126.778897593924,-4993.780448764672
18,-5111.280108132196,-4965.419564291169,-5040.434343735857,-5170.009950820822,-4999.991837458198,-5001.036131931231,-4972.646281868837,-5005.541189089008,-5018.661159056543,-5107.243029577252,-4967.501981077003
19,-5072.570326580319,-4939.429640378148,-5005.796183059438,-5146.0894464838075,-4988.867383760842,-4963.979569538678,-4944.976281524085,-4972.161275238936,-4967.973217968025,-5091.480714533896,-4946.3986242758365
20,-5038.138161408722,-4907.9141918307105,-4986.957727596972,-5116.440063252619,-4985.835260349208,-4946.818260003725,-4913.098645524635,-4947.58924963927,-4971.157817188459,-5069.137943384334,-4936.602050946552
21,-5009.7933646756865,-4863.804175428584,-4983.48436244398,-5114.391454478858,-4969.724678758107,-4927.169681729307,-4894.84764991759,-4915.560231575584,-4930.083836989034,-5022.80955143147,-4891.671286849734
22,-4996.308490250516,-4842.218390234266,-4959.369384810832,-5068.679208215362,-4934.9717651165665,-4909.034963620782,-4892.2699702726095,-4897.136277421879,-4910.359051011089,-4998.768309083527,-4869.947120891486
23,-4985.496895569699,-4839.012590673954,-4943.307123525319,-5047.187401786781,-4918.628646478981,-4875.436965682617,-4860.448028256529,-4886.147728492388,-4899.6061088804245,-4992.770881880841,-4845.874021158988
24,-4975.980111118501,-4830.205109900571,-4930.379202481445,-5036.94113171752,-4915.625752032685,-4860.957683185204,-4854.205422389925,-4874.27140885219,-4871.753486416799,-4959.168526839045,-4829.429836798861
25,-4950.342658875441,-4829.909263540092,-4952.28170452737,-5027.700191710475,-4908.414259999137,-4835.702924694004,-4829.553617549368,-4863.706310395979,-4836.259688640027,-4950.445890553772,-4792.811295534404
26,-4956.969600477143,-4808.599113760658,-4948.520829150428,-5025.872035417632,-4884.907198618863,-4819.7147643587305,-4823.605109132079,-4858.932273166558,-4833.310759936923,-4915.466583392001,-4785.317354620069
27,-4942.599835383845,-4811.222289578052,-4955.549649990755,-5008.955710056331,-4884.654077975507,-4787.012370871682,-4821.942005320565,-4860.178355190275,-4821.887286621311,-4917.733613093398,-4786.263374762693
28,-4937.3980730293415,-4829.071053834068,-4969.606150645803,-5008.92260661669,-4874.846737679418,-4763.297558791364,-4796.245444192983,-4856.365191731231,-4814.2129262244125,-4900.516225164423,-4777.836205244807
29,-4924.738450188723,-4831.46879648719,-4952.653750593233,-4969.055727582196,-4846.62838291648,-4756.878134215879,-4799.472133399694,-4856.993859227196,-4804.5279155607805,-4879.450880220296,-4770.209309819805
30,-4926.229141019205,-4826.053971869565,-4942.981012785007,-4961.874282882879,-4844.867230698624,-4758.965075192022,-4792.882732317479,-4864.546683643832,-4786.998913914235,-4863.659914988508,-4762.104545866293
31,-4914.533648857095,-4812.255805878602,-4935.680981506466,-4931.294746910335,-4859.34556602643,-4747.683245396508,-4774.455659072622,-4859.6176847127335,-4787.188280507195,-4860.098093687532,-4753.066084213588
32,-4906.230887245307,-4819.52705378574,-4937.557166727016,-4931.424895715675,-4865.597135630823,-4747.412508741475,-4774.947133973957,-4873.091077314798,-4787.866566633484,-4869.519547031103,-4746.9075195475125
33,-4911.260681561824,-4812.074616580829,-4929.292614366764,-4914.457713169618,-4861.6601355804705,-4741.047149248606,-4784.726044301137,-4868.000131281897,-4788.085089862905,-4863.004251176816,-4739.254675019524
34,-4896.991623387171,-4815.402775844869,-4935.426711338718,-4905.810305125266,-4851.801098754897,-4712.433783781532,-4784.456897353204,-4867.483133048318,-4799.750185038989,-4853.968529246162,-4730.316180805532
35,-4883.151060327827,-4802.991976134004,-4930.74365073417,-4906.838953522372,-4852.068993277133,-4718.1282656945705,-4765.223846389488,-4872.1377115924315,-4791.292564454983,-4854.142459910545,-4759.432860183449
36,-4883.151060327827,-4801.080165943443,-4940.218456052932,-4896.259385262914,-4863.154150091172,-4708.944233379461,-4754.676279542135,-4872.404160129522,-4796.726759111282,-4862.733599636402,-4757.846063837299
37,-4875.546895240382,-4796.8776736976815,-4946.8053801208525,-4899.218568437913,-4876.22562956834,-4718.01048634966,-4754.2831518078665,-4868.901604400085,-4795.070592653705,-4854.591325694446,-4755.96225699335
38,-4879.447546288466,-4796.611928056018,-4947.763100894935,-4906.272439749961,-4885.419311059282,-4713.61301960242,-4761.123751102366,-4865.730085525632,-4801.0704081310405,-4850.640819177535,-4746.271856182308
39,-4887.006568114914,-4805.70821293559,-4950.4034129222855,-4901.50557261973,-4878.984385754517,-4718.960215686614,-4761.887144529753,-4864.455994257218,-4781.575053688181,-4851.435593691687,-4752.466106888231
40,-4878.38726194872,-4796.1508636721865,-4957.973432654317,-4883.386397684197,-4887.846982672365,-4729.364532105219,-4769.806178991932,-4876.831436343272,-4780.253124808809,-4843.481619450372,-4766.432731019353
41,-4876.157651633216,-4797.667357824693,-4955.522446407553,-4882.048529224157,-4872.45546783591,-4723.634414964672,-4755.154917498324,-4868.302329567297,-4787.967821143217,-4842.978643858345,-4756.467843350238
42,-4882.9472665893945,-4801.936153204162,-4955.909525690928,-4881.26296653326,-4882.502927296848,-4723.012394695288,-4760.059476681426,-4879.44890981139,-4770.925647608847,-4831.689096795008,-4762.726354203687
43,-4896.947010370661,-4810.106114906161,-4950.003563842705,-4876.46473902587,-4863.38648123177,-4726.149333746418,-4759.35464561513,-4878.938969594956,-4768.880963469146,-4844.997368202099,-4765.989132783581
44,-4890.518566698671,-4811.482994495426,-4954.157437151489,-4873.8492391144755,-4863.568953364548,-4735.784775405777,-4759.471839855202,-4876.703510013957,-4765.610627510584,-4844.759959765159,-4769.467003562764
45,-4892.238143774062,-4813.69990658249,-4939.225226219889,-4873.8492391144755,-4864.960057378003,-4739.735755166435,-4769.364504312638,-4882.756990398768,-4755.496625291986,-4837.688586867562,-4766.630004479909
46,-4892.232209038542,-4814.741239015206,-4939.459614700035,-4876.428672086095,-4852.265833570824,-4739.384317115311,-4766.95894682674,-4879.924433977134,-4756.416047227982,-4837.1380464349495,-4769.733599588573
47,-4894.8894255135765,-4824.509288289595,-4942.643753841886,-4879.013441874811,-4856.082100011186,-4732.129266253531,-4770.014022257479,-4878.7985182289,-4756.266494870537,-4843.432740297557,-4775.855619921091
48,-4898.324408271697,-4824.0918936685075,-4942.637819106366,-4882.62766372993,-4868.649545991152,-4738.263156057088,-4764.98357608367,-4884.926473296939,-4753.064791386989,-4849.554760630075,-4775.273888069004
49,-4907.175358272884,-4833.587952085472,-4939.929883734623,-4879.854450465482,-4883.978335764526,-4753.056494567263,-4768.405232514556,-4887.975613992157,-4759.319251766747,-4850.778046212377,-4775.50234181363
50,-4916.606138797146,-4836.757768671528,-4943.804991067846,-4875.7098985568555,-4883.125518178584,-4756.591229606977,-4763.313893622588,-4890.730959337932,-4759.272101101853,-4857.535877210521,-4775.619536053702
51,-4928.469006673113,-4830.138747164881,-4939.854962563945,-4861.943806687449,-4890.9064050177585,-4759.652239773237,-4758.918854346885,-4894.707661248853,-4759.266166366333,-4857.647136715073,-4794.249659209
52,-4928.469006673113,-4845.52442604067,-4943.027232234757,-4865.984217038714,-4894.101335386835,-4760.454467469161,-4752.161270837733,-4891.757910587146,-4775.379379629072,-4854.645469706,-4785.005196903336
53,-4931.607164203117,-4851.886769588853,-4952.92375138811,-4870.998756179893,-4906.310927662057,-4763.521412370939,-4752.291826623144,-4885.852474528216,-4769.493239850997,-4854.704812863186,-4794.200096873152
54,-4938.543281702598,-4855.12431715237,-4956.107890529961,-4874.125044238857,-4911.002125216286,-4778.850202144313,-4749.330206490398,-4889.84477610151,-4772.560184752776,-4855.4108833694845,-4800.333986676709
55,-4938.990053956153,-4849.865250128317,-4951.047734202053,-4872.556011481019,-4910.682472603325,-4783.661797704098,-4752.059717441898,-4892.864520912568,-4772.560184752776,-4858.595022511336,-4800.333986676709
56,-4948.167149719409,-4846.608028933279,-4951.041799466533,-4849.844084695291,-4920.519076445902,-4786.7287426058765,-4758.548115710645,-4908.304570190494,-4777.664873121781,-4858.660300404042,-4807.5092330232255
57,-4951.34535412574,-4846.404749667692,-4954.108744368312,-4850.078473175436,-4920.753464926047,-4792.862632409434,-4758.536246239606,-4914.432525258532,-4786.091282134494,-4864.788255472079,-4801.609731699813
58,-4957.479243929298,-4849.588888809543,-4957.1756892700905,-4853.198644917784,-4926.887354729604,-4792.92791030214,-4761.597256405865,-4920.55454559105,-4780.165187305673,-4867.855200373858,-4810.9218259097015
59,-4963.8949204308265,-4858.2508155558835,-4957.1756892700905,-4856.9777638751775,-4923.937604067898,-4795.267884359038,-4761.714450645937,-4926.688435394607,-4777.157585561079,-4877.369546774024,-4813.98877081148
60,-4967.196253812751,-4863.039691924063,-4957.123772922723,-4860.161903017029,-4920.987853406192,-4798.400107153522,-4765.5836232436395,-4935.9886601334565,-4769.144773311142,-4880.541816444835,-4814.17124294426
61,-4973.558597360934,-4872.222722422839,-4963.374856966353,-4854.379595933689,-4925.197407954165,-4798.517301393595,-4760.451054559193,-4939.172799275308,-4772.2117182129205,-4880.541816444835,-4823.536745575813
62,-4974.318206566961,-4875.289667324618,-4969.625941009983,-4854.613984413834,-4931.3312977577225,-4798.74575513822,-4769.645954529009,-4942.239744177086,-4775.343941007404,-4880.652178360193,-4823.298855416342
63,-4983.507171801257,-4881.423557128175,-4975.75983081354,-4857.680929315613,-4931.3312977577225,-4811.007600009816,-4772.712899430788,-4948.373633980644,-4780.892881377347,-4877.645494371436,-4823.298855416342
64,-4983.39469381783,-4881.417622392655,-4978.826775715319,-4857.680929315613,-4934.392307923981,-4817.029011829946,-4778.846789234345,-4948.373633980644,-4787.026771180905,-4883.7793841749935,-4819.655403403933
65,-4980.444943156124,-4881.417622392655,-4982.098158429169,-4857.680929315613,-4934.392307923981,-4820.090021996206,-4788.047623939681,-4954.507523784201,-4802.355560954278,-4883.7793841749935,-4822.722348305711
66,-4977.124605989137,-4881.417622392655,-4982.098158429169,-4854.848372893979,-4928.558697894054,-4820.090021996206,-4794.181513743239,-4957.56853395046,-4802.355560954278,-4886.963523316845,-4825.78929320749
67,-4983.375690032768,-4881.417622392655,-4979.142473031943,-4858.266900515977,-4925.55703088498,-4823.21631005517,-4803.44169160576,-4957.55666447942,-4802.355560954278,-4890.018598747583,-4825.78929320749
68,-4985.694356214253,-4884.484567294434,-4982.209417933722,-4852.367399192564,-4925.55703088498,-4829.350199858727,-4806.5086365075385,-4963.690554282977,-4814.617405825873,-4887.01693173851,-4828.856238109269
69,-5004.0960256249255,-4884.484567294434,-4982.209417933722,-4852.367399192564,-4925.55703088498,-4841.606109994802,-4819.170280749706,-4966.874693424829,-4819.29474085502,-4887.01693173851,-4828.856238109269
70,-5013.296860330262,-4884.601761534506,-4988.343307737279,-4852.367399192564,-4931.900834928356,-4841.606109994802,-4816.233891633338,-4969.941638326608,-4825.428630658576,-4896.217766443846,-4834.990127912826
71,-5019.430750133819,-4884.71302103906,-5003.672097510654,-4852.367399192564,-4931.900834928356,-4841.606109994802,-4810.230557615192,-4969.941638326608,-4828.489640824835,-4905.418601149182,-4841.124017716384
72,-5019.430750133819,-4890.846910842617,-5003.672097510654,-4855.428409358823,-4935.337960101719,-4844.673054896581,-4810.230557615192,-4973.002648492867,-4834.6235306283925,-4905.535795389255,-4844.190962618162
73,-5019.430750133819,-4896.980800646174,-5012.87293221599,-4855.428409358823,-4941.471849905276,-4847.739999798359,-4810.230557615192,-4976.063658659125,-4837.684540794651,-4911.669685192813,-4844.190962618162
74,-5019.042430432666,-4896.980800646174,-5012.87293221599,-4858.495354260602,-4950.43191144274,-4850.801009964618,-4813.414696757043,-4979.130603560904,-4840.75148569643,-4914.736630094591,-4844.190962618162
75,-5028.243265138002,-4905.6423386371625,-5012.87293221599,-4867.696188965938,-4950.549105682812,-4850.801009964618,-4807.411362738897,-4982.197548462683,-4846.885375499987,-4920.870519898149,-4850.32485242172
76,-5028.243265138002,-4905.6423386371625,-5022.073766921326,-4883.024978739311,-4953.616050584591,-4850.330787157239,-4813.539317806934,-4982.197548462683,-4856.086210205323,-4920.870519898149,-4853.391797323498
77,-5031.304275304261,-4908.709283538941,-5028.207656724883,-4891.962468934188,-4962.816885289927,-4850.32485242172,-4813.539317806934,-4982.197548462683,-4859.153155107102,-4923.9315300644075,-4853.385862587978
78,-5040.505110009597,-4911.663750457293,-5031.274601626662,-4891.962468934188,-4968.9507750934845,-4850.32485242172,-4813.539317806934,-4982.197548462683,-4859.153155107102,-4926.998474966186,-4853.385862587978
79,-5046.638999813154,-4914.730695359071,-5031.274601626662,-4901.145499432965,-4972.879519517274,-4853.391797323498,-4816.606262708713,-4988.33143826624,-4859.153155107102,-4933.132364769744,-4862.5866972933145
80,-5046.638999813154,-4917.79764026085,-5031.274601626662,-4901.145499432965,-4975.946464419053,-4853.391797323498,-4819.673207610492,-4988.33143826624,-4862.220100008881,-4933.132364769744,-4868.720587096872
81,-5046.638999813154,-4920.864585162629,-5034.341546528441,-4904.212444334744,-4988.214244026168,-4853.391797323498,-4819.673207610492,-4991.398383168019,-4865.2870449106595,-4933.132364769744,-4877.921421802208
82,-5055.8398345184905,-4923.9315300644075,-5034.341546528441,-4904.329638574816,-4997.415078731504,-4856.452807489757,-4822.7401525122705,-4991.398383168019,-4868.353989812438,-4936.193374936002,-4877.921421802208
83,-5065.040669223827,-4930.065419867965,-5040.475436331998,-4908.497415522001,-4997.415078731504,-4865.653642195093,-4822.7401525122705,-4991.398383168019,-4868.353989812438,-4939.260319837781,-4877.921421802208
84,-5065.040669223827,-4933.132364769744,-5040.475436331998,-4914.631305325558,-5003.548968535061,-4874.854476900429,-4835.007932119385,-4991.398383168019,-4871.420934714217,-4942.32726473956,-4877.921421802208
85,-5068.107614125605,-4936.199309671522,-5043.542381233777,-4917.698250227337,-5003.548968535061,-4877.921421802208,-4841.135887187423,-4994.465328069798,-4874.487879615996,-4945.394209641338,-4877.921421802208
86,-5071.168624291864,-4936.199309671522,-5043.542381233777,-4920.882389369188,-5009.682858338619,-4884.055311605765,-4847.26977699098,-4994.465328069798,-4881.012105646065,-4951.528099444896,-4877.921421802208
87,-5071.168624291864,-4936.199309671522,-5046.609326135555,-4920.882389369188,-5009.682858338619,-4884.055311605765,-4853.4036667945375,-5003.666162775134,-4890.195136144842,-4951.528099444896,-4877.921421802208
88,-5071.168624291864,-4939.266254573301,-5046.609326135555,-4923.949334270967,-5015.816748142176,-4884.055311605765,-4853.4036667945375,-5003.666162775134,-4890.195136144842,-4954.5950443466745,-4887.122256507544
89,-5077.2906446243815,-4942.33319947508,-5046.609326135555,-4923.949334270967,-5015.816748142176,-4884.055311605765,-4856.464676960796,-5003.666162775134,-4893.262081046621,-4957.661989248453,-4890.189201409323
90,-5077.2906446243815,-4942.33319947508,-5046.609326135555,-4933.150168976303,-5015.816748142176,-4884.055311605765,-4859.531621862575,-5012.86699748047,-4893.262081046621,-4963.795879052011,-4899.390036114659
91,-5083.424534427939,-4942.33319947508,-5046.609326135555,-4936.217113878081,-5015.816748142176,-4884.055311605765,-4868.726521832391,-5022.067832185806,-4893.262081046621,-4963.795879052011,-4899.390036114659
92,-5083.418599692419,-4942.33319947508,-5052.743215939113,-4939.28405877986,-5018.883693043955,-4884.055311605765,-4868.726521832391,-5025.134777087585,-4893.262081046621,-4969.929768855568,-4911.657815721774
93,-5086.485544594198,-4942.33319947508,-5052.743215939113,-4945.4179485834175,-5028.084527749291,-4884.055311605765,-4868.726521832391,-5031.268666891142,-4899.390036114658,-4969.929768855568,-4914.724760623552
94,-5086.485544594198,-4942.33319947508,-5058.87710574267,-4948.484893485196,-5037.402556694699,-4884.055311605765,-4871.79346673417,-5034.335611792921,-4902.456981016437,-4976.063658659125,-4917.791705525331
95,-5086.485544594198,-4942.33319947508,-5061.944050644449,-4951.551838386975,-5037.402556694699,-4890.189201409323,-4871.79346673417,-5034.335611792921,-4902.456981016437,-4982.197548462683,-4917.791705525331
96,-5086.485544594198,-4942.33319947508,-5065.010995546228,-4954.618783288754,-5037.402556694699,-4890.189201409323,-4874.860411635948,-5037.402556694699,-4905.523925918215,-4988.33143826624,-4923.925595328888
97,-5086.485544594198,-4945.400144376858,-5071.144885349785,-4957.685728190532,-5040.469501596478,-4893.2561463111015,-4877.927356537727,-5037.402556694699,-4905.523925918215,-4994.465328069798,-4923.925595328888
98,-5095.686379299534,-4948.461154543117,-5077.278775153342,-4957.685728190532,-5040.469501596478,-4893.2561463111015,-4887.128191243063,-5040.469501596478,-4908.590870819994,-4997.532272971576,-4933.1264300342245
99,-5098.753324201312,-4951.528099444896,-5080.345720055121,-4957.685728190532,-5046.603391400035,-4899.390036114659,-4890.195136144842,-5040.469501596478,-4917.79170552533,-4997.532272971576,-4933.1264300342245
100,-5098.753324201312,-4969.929768855568,-5083.4126649569,-4957.685728190532,-5052.737281203593,-4902.456981016438,-4896.329025948399,-5043.536446498257,-4926.992540230666,-5000.599217873355,-4936.193374936003
101,-5104.875344533831,-4969.929768855568,-5092.613499662236,-4960.752673092311,-5055.8042261053715,-4902.456981016438,-4899.395970850178,-5046.603391400035,-4933.126430034224,-5000.599217873355,-4939.260319837782
102,-5104.875344533831,-4969.929768855568,-5092.613499662236,-4966.886562895868,-5058.87117100715,-4902.456981016438,-4899.395970850178,-5046.603391400035,-4936.193374936002,-5006.733107676912,-4942.327264739561
103,-5104.875344533831,-4979.130603560904,-5092.613499662236,-4969.953507797647,-5065.005060810708,-4908.590870819995,-4908.596805555514,-5052.737281203593,-4939.260319837781,-5012.86699748047,-4951.528099444897
104,-5107.942289435609,-4985.2644933644615,-5092.613499662236,-4973.020452699426,-5065.005060810708,-4908.590870819995,-4911.663750457293,-5055.8042261053715,-4951.528099444896,-5015.933942382248,-4951.528099444897
105,-5107.942289435609,-4985.2644933644615,-5092.613499662236,-4973.020452699426,-5065.005060810708,-4911.657815721774,-4911.663750457293,-5055.8042261053715,-4951.528099444896,-5015.933942382248,-4957.661989248454
106,-5107.942289435609,-4991.398383168019,-5101.814334367572,-4982.215352669242,-5065.005060810708,-4920.858650427109,-4911.663750457293,-5055.8042261053715,-4960.728934150232,-5015.933942382248,-4960.728934150233
107,-5107.942289435609,-4994.465328069798,-5104.881279269351,-4982.215352669242,-5074.205895516044,-4926.992540230666,-4914.730695359071,-5058.87117100715,-4969.929768855568,-5022.067832185805,-4963.7958790520115
108,-5107.942289435609,-4997.532272971576,-5114.076179239167,-4982.215352669242,-5080.339785319601,-4933.126430034224,-4914.730695359071,-5058.87117100715,-4972.996713757347,-5025.134777087584,-4963.7958790520115
