,0,1,2,3,4,5,6,7,8,9,10
0,-3610.4038088916177,-3574.5480092065764,-3622.14326901407,-3666.30699388638,-3605.227544792963,-3711.568464160342,-3529.257273884602,-3641.6461622496745,-3587.074268802288,-3653.7809796547745,-3513.118845878537
1,-3611.502421180283,-3571.360738721134,-3626.992921885077,-3697.078454801851,-3615.8573104656907,-3715.856485799106,-3530.3165488683935,-3619.724661319204,-3589.6183831048957,-3624.5060851944368,-3518.3323079979336
2,-3561.3578552663885,-3547.815287220757,-3595.762788289101,-3697.7164457072304,-3617.3165748266238,-3713.1859205302444,-3500.0827076413634,-3590.9294175996247,-3567.673793935945,-3626.7394751645647,-3469.2885904422
3,-3394.60572568306,-3488.575449181646,-3568.7951823622293,-3697.1470927440173,-3567.6877218046575,-3713.6454528596214,-3469.2682729713542,-3585.564862476338,-3485.7941510951214,-3446.8291313826717,-3447.6462815611726
4,-3169.2621188328426,-3222.972288963957,-3525.659651802099,-3661.455329442455,-3488.4319615789454,-3569.8126861199908,-3438.16256213411,-3390.9060460668115,-3399.655336162645,-3260.9525631891984,-3354.105143740851
5,-3086.573043808834,-3223.9669549397922,-3432.9986543396217,-3555.0061789231186,-3284.4250516656484,-3572.333882469472,-3427.084927056119,-3251.2741825608664,-3216.2525819833527,-3236.5040502539614,-3262.64070307628
6,-2827.348405627944,-3052.323708156382,-3099.560400273218,-3466.9472524686335,-3103.0559192433193,-3377.105588286745,-3175.9359019565777,-3187.6068261682567,-3182.53510408491,-2904.0199198308733,-3093.619724533155
7,-2687.9513647747403,-3018.6188076015515,-3092.771839895772,-3212.0980019281947,-2811.1635628945733,-3343.8257438495248,-3079.712858215909,-3011.2821853061814,-2987.844015936027,-2491.288832650048,-2976.6630979260353
8,-2371.4114058023797,-2883.263589407703,-2864.850738896489,-3060.7317889563124,-2718.001095188204,-3229.084059216498,-2911.147443974425,-2810.19001856483,-2822.234917054031,-2139.6834699321935,-2686.115317976549
9,-2259.958619499951,-2604.7496869880433,-2553.8002822100498,-2804.291021978395,-2581.0239168164653,-3087.755836041691,-2456.223348816631,-2699.359604387821,-2706.4240219796975,-1506.0430955310517,-2567.2050891257663
10,-2080.386470092843,-2403.5352611129038,-2260.950798930771,-2576.0922187530623,-2248.8673188776265,-2883.349075645983,-2164.5553407643856,-2497.6546945601813,-2567.7003849897083,-1047.44240373418,-2312.320103485983
11,-1859.012693838924,-2061.0394860887027,-2108.03068779768,-2234.8401849688353,-2029.7411855563082,-2665.402573998699,-1904.189402707304,-2409.5246091591566,-2455.1881231296284,-590.6510652774265,-2092.3998488665165
12,-1642.0200268214614,-1743.6376954445086,-1847.8923984856801,-2064.0182949781693,-1844.4914132271163,-2522.1935480364045,-1682.685228975823,-2208.8921831656126,-2250.0284809696377,-222.15966864153035,-1746.7482690717443
13,-1466.3880430220152,-1209.5309457179524,-1782.9569390227844,-1952.8977489915103,-1520.8552097637662,-2265.2783050359067,-1645.708249404193,-2083.999024879645,-2079.788036988839,221.59053604783563,-1624.2296648752945
14,-1292.8914117225595,-623.5789544222199,-1726.068726219759,-1690.6702346015538,-1393.417719013868,-2037.7622740739648,-1405.6445949639249,-1907.7579140120129,-1930.3516159448159,604.8267463938714,-1594.951950808462
15,-1137.8544253668679,48.6618112106398,-1548.629909993252,-1463.2622032825245,-1251.1937935670362,-1866.1936585446128,-1280.6909633157707,-1834.1684343754173,-1841.8508792714997,1018.015576624277,-1308.7669720408303
16,-827.9887410823503,470.0262040274949,-1507.7732430710648,-1260.5705807135973,-1140.8276318931507,-1798.5772585411542,-1103.4242968179992,-1839.5643320702543,-1698.293860818976,1366.333071781709,-1224.1133356279915
17,-630.3233077447752,1064.1860906985205,-1451.5261141215233,-1195.2179144982138,-1009.7510569534737,-1595.857396605925,-870.927473976152,-1532.2060683798982,-1610.6503308566366,1814.693401652098,-1001.3765564078539
18,-436.88069833856815,1264.6319881613144,-1325.6645348892434,-1157.757304193949,-849.0748776784085,-1337.5937142576931,-651.6315160469926,-1278.348665833455,-1464.248445039062,2009.8128048537324,-860.5239102129889
19,-286.17819905670046,1446.4283219069541,-1385.354874232144,-1050.489366152617,-730.0655889288115,-1159.1888842120516,-575.7743603953643,-1020.086172492543,-1328.4891488594972,2486.3849685600667,-757.226360274223
20,-117.80465462709836,1960.10372776162,-1250.8196890122658,-936.5077845020891,-608.0800292681195,-964.8575255762776,-393.86649551713515,-820.1289094007223,-1103.6180092875434,2734.8299312866725,-538.7851555566806
21,300.66622585515603,2287.16041929681,-1214.4312889804157,-758.2983184785039,-184.47050346301393,-814.6003890498613,-335.94015648885943,-637.3046385906496,-1046.3480598976466,3016.8579797125267,-368.79497931896054
22,447.63428942738267,2642.8427121795967,-1083.6014825194122,-587.4423112241149,16.851778562080625,-728.910965387948,-201.29566329354807,-323.6778632945465,-901.2234279869983,3245.681619632807,-194.8197174468687
23,510.19959023620333,2757.2961139768167,-908.7151652593583,-473.69338384380865,159.1498552973619,-582.1294630552128,-147.10687920515238,-60.635374794433176,-844.7232516944916,3469.453218378475,-165.44389578747717
24,981.0563286037298,2878.8508569351725,-796.7215450102872,-330.33975612824054,160.71652923427968,-465.26768339328385,-122.65747915644238,224.94090165104063,-526.1409476419437,3612.37036037041,-13.928581720712629
25,1269.3501020189801,3042.7720256347347,-760.2820107219071,-235.01640496674526,271.8886364531911,-429.7665595661987,-57.72265651310914,494.5440456661601,-415.18131906986963,3782.465386299349,207.9052509443442
26,1444.7281602408057,3291.838218220233,-752.9575140725675,-152.01480217971965,345.1722994232024,-419.7638286005606,-0.8332102664186323,916.5859217652184,-273.4620056960647,3873.1143522844586,267.70099385879536
27,1535.643404265583,3454.4846571164553,-654.2541129541722,10.45805660317518,487.66761049913407,-345.24811881614414,34.70380544281852,1191.4970413270682,-267.8938935330315,3990.6458598021063,384.54390654616975
28,1647.5805758625502,3509.4113227139314,-550.7573392398903,184.1832562743886,612.3552237616329,-179.16562246315198,66.19059756891,1535.7299298826888,-190.26651319476633,4127.089326804726,448.46207682109804
