,0,1,2,3,4,5,6,7,8,9,10
0,-3582.2084271827625,-3588.509001256984,-3465.453966755409,-3553.9149196220724,-3612.5066077036413,-3499.188653112229,-3601.459949412794,-3567.071000212299,-3620.2597720636923,-3493.7903720275553,-3606.8978401849363
1,-3582.6502599350415,-3617.5112030962227,-3500.1519275134065,-3540.682672074666,-3609.512960936582,-3490.859857448424,-3602.005225502229,-3567.8599209253525,-3592.3618415426163,-3494.3156383354753,-3605.5727362443995
2,-3583.495048383823,-3617.1134759473853,-3500.1519275134065,-3540.9380585524264,-3607.9058133962153,-3490.859857448424,-3602.0673859009617,-3621.212414474725,-3591.2371846300357,-3487.607222692509,-3603.5756785841777
3,-3583.495048383823,-3618.15186937606,-3504.0091622272716,-3544.599341149641,-3611.3282129855215,-3485.020105944448,-3603.6552157226815,-3621.212414474725,-3591.5891061241236,-3486.3094070600737,-3607.876359579373
4,-3584.772708903939,-3641.102361290475,-3504.033703336188,-3546.020726830572,-3611.25290447091,-3486.581046324825,-3597.992255242645,-3622.0729187946763,-3591.5891061241236,-3486.3094070600737,-3607.54524210789
5,-3589.1159282737985,-3641.0040041719403,-3500.9888502653002,-3516.7862858745348,-3607.990385592919,-3489.422612075584,-3595.7250720767042,-3622.695822321849,-3564.3004686220193,-3487.7094947433247,-3549.623515973887
6,-3589.6614394555518,-3635.591675178276,-3500.9888502653002,-3459.934343451629,-3605.860892057253,-3477.2383882368445,-3624.2019614602104,-3624.399916404728,-3534.5665336082347,-3481.814506196197,-3552.0339555818978
7,-3589.6614394555518,-3635.591675178276,-3500.9888502653002,-3430.900181162765,-3605.5269971416465,-3475.1371276477716,-3624.0434911192388,-3625.493933946848,-3505.1720421812793,-3480.0780094056463,-3554.226396819659
8,-3589.6614394555518,-3635.591675178276,-3527.082270208591,-3430.900181162765,-3605.579278648156,-3475.962990691462,-3624.0434911192388,-3626.1671695621853,-3480.0863588351194,-3479.490411402193,-3553.892450404841
9,-3590.4049806306457,-3631.8954499383462,-3525.963887982515,-3428.605318115872,-3602.734369264356,-3440.8814380398076,-3626.3272963175796,-3627.873234310307,-3422.487705115321,-3470.363038897417,-3532.0100164786836
10,-3590.4049806306457,-3632.0760031480836,-3527.5818497972527,-3431.087533950589,-3600.598368147109,-3406.02933590718,-3622.168413234234,-3606.887239807925,-3308.6854275204496,-3462.3195231268296,-3449.0129048758745
11,-3588.9856254072656,-3569.945589113893,-3519.873894051177,-3375.457236166166,-3614.2701715352205,-3386.0131653239996,-3612.54862810369,-3607.7890328283374,-3196.689891887271,-3462.6639279781766,-3422.3843675910216
12,-3585.412076641136,-3563.898095361711,-3522.827496176327,-3364.6715355329343,-3614.2701715352205,-3360.4668635735684,-3615.8881053731957,-3583.2317990509255,-2930.470600154172,-3463.072213962626,-3393.617360554922
13,-3587.6002102224165,-3528.5076491914997,-3495.2102565734085,-3340.0559163100584,-3614.0746220432447,-3362.4847451664114,-3613.9719371933425,-3582.2077651479904,-2819.58410792796,-3455.834924996428,-3320.0227115526386
