,0,1,2,3,4,5,6,7,8,9,10
0,-82051.54497286814,-83479.53790609937,-81823.56380231644,-83459.48732351657,-84103.49994531006,-83585.58439739599,-83014.99667236184,-83307.47383854221,-82337.75189060079,-82575.41622511599,-80754.66524323085
1,-82072.08884510913,-83453.61754463466,-81847.33259541966,-83416.87708083465,-84096.64173719715,-83584.74631619069,-83002.59542383514,-83282.00921054154,-82239.37421697358,-82592.36519855696,-80679.83849648616
2,-82085.3025847896,-83465.72451322469,-81804.73104062417,-83406.61532617142,-84082.80627803084,-83574.81100149402,-82969.77438452924,-83271.19945601394,-82235.43356467976,-82616.55209502374,-80715.03578982617
3,-82070.82090824973,-83488.74207286333,-81800.66339792436,-83297.81046678661,-84067.31702272351,-83578.26729933146,-82910.8129363065,-83219.07684664955,-82161.60295986023,-82629.78754339248,-80673.76073946859
4,-82055.33042850066,-83414.1465336918,-81811.9488720523,-83242.08471788971,-84092.33101620743,-83561.87112324369,-82936.40807310314,-83230.93975757629,-82083.70807463367,-82641.52230010857,-80683.61740931249
5,-82015.64246197946,-83371.27147951577,-81761.85622532673,-83203.60470107288,-84050.86771234,-83554.70459121998,-82896.2531275444,-83227.98376534654,-82058.21815926314,-82660.58219182082,-80650.70012570304
6,-81981.22630505626,-83361.84246073746,-81754.43920714449,-83078.59986937314,-84024.84754978097,-83534.23919634873,-82865.50499777269,-83167.47533005495,-81800.32078977308,-82671.57188233535,-80629.44572441507
7,-82008.74369933407,-83325.72348884513,-81630.76015752387,-83016.63683770502,-83978.35598563199,-83560.90543838782,-82821.5650358787,-83104.95634318789,-81590.94700917322,-82706.8491857046,-80508.53145519225
8,-82027.85982773594,-83289.03313543204,-81553.87522388998,-82912.23169401978,-83964.16448899751,-83529.57036573283,-82770.77327475802,-83076.79854761431,-81510.4236880706,-82758.43276139558,-80441.27879745967
9,-81943.34394135157,-83259.54994383497,-81418.93069981907,-82764.48856208283,-83968.14922398207,-83471.87556377344,-82741.64109277632,-83027.48275008489,-81389.17860412091,-82718.56757981259,-80385.22276026604
10,-81854.74627437667,-83224.0475302721,-81352.44264155909,-82593.04133730574,-83836.89003080656,-83414.2923235285,-82688.02795337647,-82977.74043916902,-81111.06930298591,-82673.94612804442,-80152.71882046181
11,-81796.86365815965,-83115.38253304616,-81236.84311240386,-82419.2008019648,-83742.98733060707,-83335.08263843917,-82609.82283949644,-82933.36565549097,-80850.48683934289,-82713.80376631903,-80048.7090657964
12,-81768.83387027637,-83080.10435976993,-81083.25719197019,-82347.32620680836,-83641.26581320865,-83252.7449165415,-82558.7329212861,-82904.12308282538,-80743.32987002179,-82695.56076964737,-79795.99482350235
13,-81680.86293328126,-82978.21757559285,-81003.59515318307,-82126.4713142541,-83554.38562962938,-83187.35086919388,-82465.98676730355,-82761.28766411656,-80426.85984523865,-82662.75051720632,-79678.11012858039
14,-81657.94896341462,-82895.86604822794,-80893.61589356954,-81850.1785805753,-83452.91457102244,-83139.61158668096,-82336.99664350506,-82613.59491007647,-80234.20163491873,-82624.26876108957,-79496.50525347337
15,-81560.62881462433,-82677.16972318909,-80711.20905333171,-81641.7738982891,-83323.08333167413,-83024.35474675178,-82166.11247439237,-82475.39475689865,-80014.40918967391,-82526.66581685732,-79186.04619561232
16,-81506.1022607187,-82449.30929660684,-80574.92493792839,-81420.10539494341,-83177.58446868896,-82857.32555622549,-82043.52649904074,-82380.52613246562,-79740.46593230935,-82444.55466281193,-78897.38480198226
17,-81326.25448096992,-82296.64464815549,-80351.61802971359,-80946.20013181826,-83028.39957481506,-82720.78020209548,-81888.20891382363,-82190.55947796983,-79299.5122994232,-82367.93162022697,-78755.80434877038
18,-81303.13880287402,-82093.23827454355,-80142.93273124748,-80528.50581995127,-82884.91611124201,-82575.89765103716,-81716.94820267886,-82062.34660303546,-78900.69423615462,-82255.79796429872,-78485.5875264501
19,-81212.9491584431,-81827.14945657164,-79850.90676976286,-80241.25101143026,-82684.85777921461,-82396.29242275583,-81528.79965951543,-81828.81851709753,-78391.33231108799,-82069.78582622102,-78120.33288360827
20,-81037.8538894658,-81713.01367335112,-79556.05490702338,-79857.46725245798,-82464.43170365764,-82266.33060712804,-81209.65586243512,-81663.05515035847,-77965.6768019243,-81774.139124064,-77812.30773296615
21,-80867.98331905511,-81494.71334473616,-79258.65632734651,-79520.26162712091,-82225.13643058037,-81956.93923067521,-80907.29667963626,-81437.60665290119,-77517.91523832564,-81639.13277059657,-77422.20232052886
22,-80604.81321447708,-81343.10552835056,-79075.63352890962,-79208.59392335032,-82112.32029172957,-81795.47010569744,-80640.19185149789,-81196.28497779206,-77085.19546699144,-81348.79373560104,-77080.23106241853
