,0,1,2,3,4,5,6,7,8,9,10
0,-85277.0011878683,-82547.54400437113,-83916.77936190588,-84819.82180452693,-84757.84277331976,-84229.25267058675,-82475.08596909916,-82595.32762249501,-81530.28552309678,-82590.83485895513,-83679.62351793994
1,-85302.13991950185,-82833.81284174351,-83882.98952524352,-84865.21933434202,-84767.77083568719,-84416.85652377584,-82451.21903730373,-82574.55587077313,-81559.29163120937,-82578.52707629847,-83680.88428372928
2,-85285.14723473984,-82847.99157846799,-83942.72072798188,-84763.41851214148,-84748.79849447256,-84371.42898819369,-82426.61239171543,-82546.98187365914,-81500.68504984089,-82568.11226110955,-83694.34275814114
3,-85301.9165611321,-82907.0302605838,-83980.16025329678,-84697.78482666422,-84731.28642426722,-84495.41419253696,-82418.09049945045,-82546.29941670981,-81502.89432974976,-82545.29923382516,-83702.999470009
4,-85290.83956879997,-82899.71750182196,-83991.49382551105,-84642.31151900413,-84719.55983750563,-84481.24697655794,-82406.7720955776,-82528.5949949185,-81532.86074969955,-82542.76106114565,-83614.89889761047
5,-85272.32096044051,-82916.19756576729,-83960.02529837789,-84633.60279313632,-84711.35618813703,-84491.16165272401,-82366.91615665167,-82534.73239001051,-81533.89558301638,-82511.07741033996,-83742.19310573529
6,-85252.30971788094,-82903.39761258953,-83961.39644723437,-84607.74226249308,-84703.7528080731,-84492.02297018927,-82352.22991992059,-82528.73249340229,-81499.39887141496,-82436.64106721336,-83710.2532492811
7,-85248.94232328759,-82908.02487200873,-83856.71314087862,-84584.25072159404,-84748.06596382232,-84441.67420698865,-82375.92243566962,-82507.43493678168,-81509.03070722369,-82343.19645712525,-83699.7124549394
8,-85207.81553159314,-82776.95419471178,-83822.82178376356,-84613.9997095871,-84793.56831655654,-84462.71938891968,-82434.45432660446,-82473.28706101287,-81497.18051480106,-82296.0939308372,-83695.15829116569
9,-85198.87918041027,-82755.91521560744,-83806.56187314136,-84612.30716942009,-84723.70033030969,-84424.87616318237,-82378.96985279556,-82471.03471910224,-81469.74366560469,-82258.81189824457,-83886.63317908933
10,-85211.96050223535,-82795.31174669733,-83802.35136206332,-84430.74941664701,-84676.64441177758,-84421.97405357918,-82369.13734604628,-82467.92906294599,-81369.32852391385,-82260.15884926455,-83873.7855438996
11,-85127.13773581744,-82734.75863697447,-83761.27876580415,-84346.55020542213,-84653.5859273186,-84381.29290919099,-82226.26730807712,-82436.11549721312,-81267.90382653693,-82243.73631778796,-83837.65531205044
12,-85129.67398063974,-82743.53691722156,-83730.56688303602,-84285.15662552229,-84612.8349047231,-84358.70982401463,-82147.89867371229,-82429.8411261114,-81293.14232717655,-82263.90921115984,-83782.62610748364
13,-85055.35029721148,-82708.432540557,-83717.10038177419,-83998.44725242844,-84565.49621815106,-84327.34433686954,-82054.61926444205,-82383.09843005844,-81192.95747963352,-82272.42287217014,-83688.33785732514
14,-85030.18720100632,-82694.6168982138,-83713.97290605598,-84006.26696436745,-84557.79676769776,-84222.76922746102,-82013.87791331793,-82347.19519721807,-81132.65444234794,-82193.16782396413,-83604.94744819321
15,-84945.2535212854,-82701.76707627822,-83703.78659741636,-83973.2930283944,-84542.65566332557,-84144.5345148146,-81986.38765600868,-82298.87570755916,-81077.67568530607,-82176.00953311131,-83470.95865912658
16,-84877.17859667595,-82674.5883622419,-83682.96865436506,-83937.16638771736,-84498.4243825953,-84069.99020029978,-81839.29207383485,-82301.65114228269,-81013.99023532837,-81952.82550374248,-83444.56078707028
17,-84808.07892445086,-82643.44374428452,-83622.94229642685,-83896.93523699147,-84406.34689895359,-84022.83352692654,-81803.264349345,-82302.03993586946,-80956.91916804358,-81850.5611045525,-83363.20081351759
18,-84748.98390774513,-82572.14547846824,-83607.59675223389,-83870.38370422235,-84362.6573222065,-83897.33360765674,-81703.91755995259,-82268.94366539628,-80811.6852296631,-81695.59307957906,-83312.25927421651
19,-84641.1166315942,-82569.29705675828,-83541.72381323006,-83854.55722194527,-84250.04981445144,-83886.89287781955,-81615.35279105097,-82257.8224342209,-80730.21947476512,-81386.54077527078,-83237.32440379205
20,-84616.55473517766,-82512.24688645452,-83390.25926580452,-83846.79341382497,-84135.5887569261,-83831.31532997804,-81561.06978177364,-82197.92797771833,-80508.59095754803,-81338.46748651228,-83194.70059421647
21,-84553.58764322259,-82500.00284222755,-83317.53151405179,-83809.55837541845,-84077.18534445924,-83757.60311527629,-81453.02224493495,-82130.84470036099,-80413.68504651514,-81248.32437071831,-83137.59606147106
22,-84500.51860433078,-82478.2775193811,-83200.86209904143,-83891.56478686215,-84010.90942186397,-83677.73551892291,-81353.03762324268,-81953.52686542424,-80215.2887232466,-81213.0282405011,-82507.02770951719
23,-84405.92094073018,-82401.76606269249,-83153.10070109754,-83798.13994094633,-83920.0853718608,-83587.99404841583,-81260.54365371888,-81816.18705487682,-79933.55002653896,-81120.52667329642,-82274.5962175828
24,-84360.01401850476,-82379.03798970771,-83081.28267329582,-83799.40748940867,-83785.49784305923,-83417.18998161434,-81130.61579152022,-81714.3602604697,-79558.58166850111,-81078.18555207353,-82142.0079951683
25,-84265.83722424752,-82351.25471812017,-83013.16114248376,-83665.72160977729,-83696.69800144549,-83255.28132108889,-80992.72716842819,-81614.31507068119,-79192.77594501791,-80898.27820287837,-82060.68094411094
26,-84251.71384020676,-82334.2005123784,-82846.19376581149,-83697.22397274783,-83575.74996161778,-83194.67528543541,-80883.15181253963,-81510.9800212432,-78027.89359174718,-80841.81684050198,-81964.11228046096
27,-84168.49817412277,-82237.52507457578,-82798.68128076076,-83597.73622326204,-83356.8386416711,-82991.79942895021,-80812.32890529402,-81408.73193033953,-77664.88076333678,-80684.17469930784,-81753.9626886797
28,-83995.008191736,-82091.28179604985,-82676.90916261305,-83534.92548164405,-83224.28871728315,-82829.97848476164,-80686.15232813117,-81268.7842887454,-77491.83462568582,-80589.8586574259,-81329.7469981933
29,-83855.74615105921,-82077.11483209819,-82499.51416763429,-83429.096913219,-83142.04360908049,-82679.86232690435,-80534.05771546814,-81105.00332309309,-77176.02239615937,-80448.3121079334,-81147.84470433375
30,-83716.65850031881,-81908.33082389567,-82489.01407064512,-83240.70918114665,-82991.84684673356,-82349.75487288283,-80444.35437572101,-80875.86489266792,-76953.51900756612,-80366.8419280714,-81023.85107265414
31,-83598.74695082294,-81771.0179725196,-82382.48865813753,-82886.78269120512,-82876.10035487462,-82046.88924534363,-80003.27768846316,-80698.58071004019,-76406.89954683429,-80249.37617978652,-80735.86123279181
32,-83484.39636471754,-81640.32694758964,-82260.04058458666,-82824.64949934225,-82782.47010700285,-81948.56332380598,-79758.90787565621,-80561.26304213403,-76152.38109302561,-80096.62527521962,-80595.16036281514
33,-83322.46309612249,-81610.84588479216,-82156.19597918916,-82739.7370788045,-82580.66387202541,-81984.08836581999,-79586.28509243742,-80472.76684339778,-75979.77490433118,-79930.59124038543,-80190.22263872612
34,-83114.99110189569,-81528.44056489551,-82062.11023008707,-82628.0122183303,-82473.88387494144,-81765.11920114118,-79244.52965978201,-80347.73011967872,-75644.09587228709,-79701.00606583164,-79960.61572904767
35,-83007.41803617425,-81445.4675360588,-81844.92847222667,-82495.19428597827,-82122.34332136062,-81592.33439053742,-79144.32255151734,-80211.43018640089,-75421.76851100568,-79569.55572906905,-79768.37635188406
36,-82625.55483861102,-81275.44627534563,-81686.63399246417,-82355.22846795843,-81708.55071825327,-81351.97076740942,-78935.81428746412,-80106.97146076069,-75128.34662522913,-79335.80201399635,-79548.96042371502
37,-82566.16314509607,-81189.72660884915,-81550.69030715709,-82190.28657437401,-81535.99512307286,-81136.56402270509,-78853.15512768697,-79971.22518718556,-74835.8949601524,-79004.79827505193,-79334.05139514335
