,0,1,2,3,4,5,6,7,8,9,10
0,-83056.13043960377,-83114.18661512944,-83130.30829513677,-82943.43893481768,-83525.05496533256,-80507.96102456661,-83252.16036270653,-83109.2208689319,-78345.60976815043,-83252.04824556391,-83845.5155589087
1,-83046.25701260238,-83087.73767362467,-83107.00706831951,-82953.85537617317,-83543.38412755451,-80490.65909943893,-83273.41571701392,-83106.18257031351,-78349.09821028658,-83236.90750624852,-83803.78870822866
2,-83040.80812157367,-83108.36721720148,-83080.59514507247,-82953.31609341867,-83549.27513602597,-80527.44136452851,-83265.59548415971,-83114.53750778659,-78341.40543481549,-83244.60747165162,-83797.39598342328
3,-83040.17314672397,-83121.71550954966,-83110.89482684556,-82927.8106976824,-83538.04309510357,-80539.0598039536,-83304.35627716107,-83115.09554166894,-78405.34317554526,-83243.59776817501,-83801.43381426256
4,-83064.29413628764,-83095.29363035035,-83076.92641597125,-82913.90411101072,-83536.71851734899,-80622.16412840478,-83312.0258493376,-83111.82290674311,-78379.97601391678,-83207.69023822786,-83802.2497557425
5,-83044.42303446383,-83106.51069996505,-83070.86138165709,-82906.17287450701,-83525.08496071187,-80644.12153504392,-83286.78098136061,-83079.09291575951,-78372.53105355665,-83167.63683633883,-83798.14401281296
6,-83058.68809869692,-83116.23918147795,-83087.44928031422,-82949.34749788015,-83511.70024889267,-80640.99168771516,-83281.81098083155,-83050.97869614215,-78373.18204293081,-83163.61389302237,-83800.18607815975
7,-83042.27849188118,-83109.39820983057,-83085.17415111387,-82966.06045573292,-83491.67197744174,-80644.47768819345,-83293.61336256261,-83061.38888550288,-78377.2468161893,-83107.39297017109,-83795.36413632415
8,-83080.25665620471,-83089.24407525532,-83079.42497951546,-82994.04312248947,-83492.57420721815,-80747.9979257226,-83227.98617025136,-83069.89298741921,-78348.74391600664,-83074.68907106099,-83795.28090096707
9,-83084.28225479899,-83094.83764668266,-83043.85066257516,-83001.54655554099,-83507.17831375229,-80760.9809891828,-83224.81411861019,-83109.26232211784,-78370.96161216483,-83001.39906026395,-83775.91771941172
10,-83055.93627383935,-83098.43223762447,-82998.50824300517,-82984.31976701913,-83511.89480675755,-80596.45327817692,-83212.67170449914,-83118.48360791025,-78425.81703820499,-82912.72323732267,-83740.52188711036
11,-83052.63832028098,-83096.95436783748,-82989.98756914145,-82989.90904128941,-83527.7976432443,-80626.01790145559,-83205.79725109445,-83092.54808428705,-78368.15024653991,-82845.66915366337,-83803.49308207328
12,-83053.18794087046,-83093.31919666247,-82999.70584591688,-82975.55218883514,-83496.06452687446,-80663.93912072026,-83200.47939114252,-83108.4494617836,-78346.66918621452,-82928.91480397401,-83796.5149285144
13,-83022.57671351059,-83105.38549275373,-83012.86852739789,-82982.52764273956,-83498.49521918427,-80648.65226390617,-83172.92703215459,-82972.32773547889,-78334.01218715569,-82907.30346008818,-83739.86887151503
14,-82998.93243110584,-83075.16139659044,-83015.85407039353,-82962.4826590023,-83533.51926082515,-80606.36179518295,-83202.63532255692,-82957.84313291777,-78323.53799085357,-82880.10960376821,-83750.83238566402
15,-83013.53130812716,-83079.84944989301,-83005.22910930267,-82941.73490528931,-83529.84194353747,-80610.94850071044,-83200.80864116074,-82933.19606406675,-78338.44585941761,-82822.54670105473,-83725.53209629866
16,-83001.67433656933,-83062.85246730899,-83011.97098034235,-82946.21022142208,-83504.52328608942,-80584.05905683833,-83187.84668005363,-82919.0866762469,-78338.37636806973,-82808.48692571264,-83722.17786484852
17,-82994.89927957724,-83031.72825797196,-82980.14173961186,-82935.24403924076,-83501.86181653684,-80584.3041923921,-83196.23947626873,-82927.4477984581,-78364.39100990354,-82783.33771578924,-83729.63283942934
18,-82981.36657200719,-83011.62945454186,-82980.96867847742,-82933.9818971279,-83514.15238633091,-80561.366267758,-83188.8471162804,-82884.28631518112,-78382.27282157833,-82792.3341592894,-83751.17913824927
19,-82954.1039273557,-83003.40017509629,-82940.99504862897,-82933.23650269951,-83511.5841264534,-80548.58652771241,-83201.18215166724,-82873.07845585185,-78344.4176064007,-82816.51042542636,-83741.6952426548
20,-82947.81850614413,-82982.08808927768,-82934.35034378861,-82949.84927895939,-83514.24395824924,-80568.80830669461,-83218.2992510558,-82862.78050846167,-78337.34907614764,-82773.89997460131,-83739.2939317357
21,-82931.919252288,-82990.28568607033,-82911.88644963816,-82933.3042055289,-83513.08049618674,-80598.10691471784,-83250.09391352805,-82878.16272632245,-78336.39176592835,-82733.61276403406,-83733.35785385981
22,-82940.7300447176,-82971.50699653347,-82871.2910511193,-82910.2421819826,-83515.51196494419,-80511.61927241224,-83250.74155343475,-82892.19309429536,-78332.74281408958,-82712.56030319587,-83752.2392010373
23,-82954.0710675878,-82979.43730029222,-82854.77581247373,-82823.02856438921,-83512.22150583692,-80535.68175423995,-83241.90697461231,-82880.02861728586,-78352.8631426791,-82698.23654716609,-83711.183120526
24,-82957.05585354102,-82977.63648132692,-82865.18932180997,-82820.13588667172,-83541.733074711,-80506.88757448553,-83230.39672791926,-82870.54669136928,-78339.8738018542,-82668.56715742528,-83685.6633534223
25,-82964.98367860864,-82969.96741125992,-82854.39989451921,-82805.66910682368,-83304.10313057934,-80407.29355580245,-83210.74271836778,-82858.84628924886,-78316.4043344823,-82645.71989713269,-83672.65401950205
26,-82991.49645587246,-82989.02933417271,-82836.79468666503,-82806.87039883052,-83279.24044498941,-80391.96894118405,-83197.59148689179,-82869.45728631312,-78324.29332111977,-82609.74690527187,-83637.14895736624
27,-82974.02141617436,-82981.79603908536,-82821.93540710022,-82828.73449682983,-83273.64263966217,-80389.4304584805,-83210.98448301139,-82870.4448357087,-78324.96461319586,-82598.83337664863,-83604.49110429693
28,-82975.73042778776,-82973.70150000145,-82795.8140201868,-82774.23894414757,-83282.85348404339,-80464.72248028143,-83202.47330321018,-82836.00257689612,-78468.9823489061,-82514.54024686979,-83623.63405761268
29,-82967.00028515465,-82965.92742239118,-82788.78616433477,-82770.68705461451,-83277.97836614534,-80370.7310140561,-83163.18496042263,-82803.2980324185,-78465.93157131677,-82519.53542089107,-83631.95138290123
30,-82953.49795151061,-82972.1813967847,-82767.39581963648,-82785.90215270863,-83282.04900757308,-80361.73232166414,-83158.19765200271,-82836.99078674804,-78436.14531479968,-82491.1885643746,-83586.69312096637
31,-82947.12101385972,-82957.98931799267,-82699.83732199982,-82775.23822767884,-83277.32710343381,-80360.01140857203,-83095.03808255571,-82825.42812620912,-78436.77109392642,-82415.93588022824,-83588.05829223526
32,-82957.97676556361,-82967.29252894444,-82661.9169509248,-82779.607704533,-83353.48166012349,-80379.41157941273,-83088.34037526249,-82828.54516322147,-78464.03586540755,-82348.88112961376,-83581.9439304669
33,-82982.8866584191,-82967.26677695742,-82660.8739953867,-82805.82224395336,-83349.67086711031,-80359.31023909658,-83088.18699002091,-82811.67004457943,-78460.08448237384,-82339.5950469949,-83564.414352168
34,-82979.91296376464,-82935.13562488336,-82640.02510459194,-82784.2962237089,-83349.59706302703,-80357.08838240666,-83080.86143174264,-82790.47093232098,-78409.80641813116,-82261.16671475713,-83491.57122972635
35,-82971.27838519662,-82909.16799531954,-82599.77710163123,-82786.35243364295,-83352.05914843795,-80345.35981674389,-83081.55342314095,-82746.77523353894,-78372.39968888869,-82234.47564412068,-83486.27301093367
